Filename,Detected_Language,Whisper_Text,CMU_Raw_Text,Text_Similarity,CMU_Raw_Audio,Start_Time,Stop_Time,Source,Emotion
-3nNcZdcdvU[1],en,"It's important for teachers to understand their legal, ethical, and professional obligations in an educational setting.","['sp' ""it's"" 'important' 'for' 'teachers' 'to' 'understand' 'their'
 'legal' 'sp' 'ethical' 'sp' 'and' 'professional' 'obligations' 'in' 'an'
 'educational' 'setting' 'sp']",0.9583333333333334,-3nNcZdcdvU,12.014,20.098,CMU-MOSEI,positive
0AA-wmk8WdA[0],en,"But I think for many of us, it exposed maybe a lot of issues that were happening underneath the water.","['technology' 'but' 'i' 'think' 'for' 'many' 'of' 'us' 'sp' 'it' 'exposed'
 'maybe' 'a' 'lot' 'of' 'issues' 'that' 'were' 'happening' 'underneath'
 'the' 'water' 'sp' 'because']",0.8868778280542986,0AA-wmk8WdA,10.627,17.145,CMU-MOSEI,positive
0hCihQ5Kep0[2],en,I absolutely love speech language physiology.,['sp' 'i' 'sp' 'absolutely' 'love' 'speech' 'language' 'pathology' 'sp'],0.9230769230769232,0hCihQ5Kep0,52.751,56.894,CMU-MOSEI,positive
0rE8jEvQW_I[5],en,"16th in Anaheim, California. This is going to be our very first conference and we'll have tons of leadership training and fun. You don't","['california' 'this' 'sp' 'is' 'going' 'sp' 'to' 'be' 'our' 'very' 'first'
 'conference' 'and' 'we' 'will' 'have' 'sp' 'tons' 'of' 'leadership'
 'training' 'and' 'fun' 'sp' 'you' ""don't""]",0.8992248062015504,0rE8jEvQW_I,22.6299319728,29.5265306122,CMU-MOSEI,positive
102858[19],en,"This one disc contains not only Garfield's Halloween adventure, especially I've watched almost every year since I was about four, but also has Garfield's Thanksgiving, which is a pretty funny little short, funny little special, and a Garfield's Christmas, which is just absolutely awesome.","['sp' 'this' 'sp' 'one' 'disc' 'sp' 'contains' 'sp' 'not' 'only'
 'garfield' 'not' 'only' 'halloween' 'halloween' 'stutter' 'adventure'
 'sp' 'a' 'special' ""i've"" 'sp' ""i've"" 'stutter' 'sp' 'watched' 'almost'
 'every' 'year' 'since' 'i' 'was' 'about' 'four' 'sp' 'but' 'it' 'also'
 'has' 'stutter' 'thanksgiving' 'which' 'is' 'a' 'pretty' 'funny' 'little'
 'short' 'sp' 'funny' 'little' 'special' 'sp' 'and' 'a' 'christmas'
 'which' 'is' 'just' 'absolutely' 'sp' 'awesome' 'sp']",0.8841059602649006,102858,21.8117913832,43.2952380952,CMU-MOSEI,positive
12812[6],en,I think there's been great reviews about this movie and it's a very fun watch with friends and I've always had a fun time watching it. There's so many.,"['exciting' 'sp' 'umm' 'i' 'sp' 'think' ""there's"" 'been' 'great' 'reviews'
 'stutter' 'about' 'this' 'movie' 'sp' 'and' ""it's"" 'very' 'sp' 'umm' 'sp'
 'fun' 'to' 'watch' 'sp' 'with' 'sp' 'friends' 'sp' 'and' 'sp' 'i' 'have'
 'sp' 'always' 'sp' 'had' 'a' 'sp' 'fun' 'sp' 'time' 'sp' 'watching' 'it'
 'sp' ""there's""]",0.8753799392097265,12812,35.94,49.611,CMU-MOSEI,positive
13JpsLvddoY[3],en,Thanks again for your support and we look forward to hearing from you soon.,"['sp' 'thanks' 'again' 'for' 'your' 'support' 'sp' 'and' 'we' 'look'
 'forward' 'to' 'hearing' 'from' 'you' 'soon']",0.9605263157894736,13JpsLvddoY,42.754,47.027,CMU-MOSEI,positive
186631[3],en,"So as they would have it, he ends up in a sewer in France and from there there's some hilarious, wonderful, authentic and funny, funny stuff that is just so right on with Food Network and the way cooking should be.","['garbage' 'sp' 'so' 'sp' 'as' 'sp' 'they' 'would' 'have' 'it' 'sp' 'he'
 'sp' 'ends' 'up' 'in' 'a' 'store' 'in' 'france' 'sp' 'and' 'from' 'there'
 ""there's"" 'some' 'hilarious' 'sp' 'wonderful' 'sp' 'authentic' 'sp' 'and'
 'sp' 'funny' 'sp' 'funny' 'sp' 'stuff' 'sp' 'that' 'is' 'sp' 'just' 'so'
 'right' 'on' 'with' 'sp' 'food' 'network' 'and' 'the' 'way' 'cooking'
 'should' 'sp' 'be' 'sp' ""it's""]",0.9209932279909706,186631,73.983,90.588,CMU-MOSEI,positive
197778[6],en,"But other than that, it's just great. We love it.","['umm' 'sp' 'but' 'other' 'than' 'that' 'sp' ""it's"" 'just' 'great' 'sp'
 'we' 'sp' 'love' 'it' 'sp']",0.8712871287128713,197778,98.488,102.82,CMU-MOSEI,positive
197778[7],en,"Once again, this is Dinosaur by Walt Disney. The colors on the movie are fabulous. The story is great.","['sp' 'once' 'again' 'sp' 'this' 'is' 'dinosaur' 'sp' 'by' 'sp' 'walt'
 'sp' 'disney' 'sp' 'the' 'sp' 'colors' 'sp' 'on' 'the' 'movie' 'sp' 'are'
 'fabulous' 'sp' 'the' 'story' 'is' 'great' 'sp' 'we']",0.8932038834951457,197778,102.778,112.318,CMU-MOSEI,positive
